Var1,Var66
12669,0
12683,0
12701,0
12716,0
12718,0
12722,0
12723,0
12728,0
12745,0
12774,0
12790,0
12792,0
12793,0
12798,0
12799,0
12819,0
12837,0
12842,0
12854,0
12870,0
12872,0
12880,0
12889,0
12900,0
12907,0
12911,0
12913,0
12914,0
12920,0
12921,0
12931,0
12932,0
12942,0
12946,0
12951,0
12953,0
12969,0
12972,0
12975,0
12990,0
12993,0
12999,0
13004,0
13024,0
13025,0
13041,0
13045,0
13053,0
13057,0
13070,0
13086,0
13100,0
13108,0
13115,0
13125,0
13126,0
13136,0
13142,0
13144,0
13152,0
13165,0
13177,0
13182,0
13185,0
13187,0
13188,0
13205,0
13206,0
13219,0
13230,0
13237,0
13254,0
13261,0
13263,0
13273,0
13274,0
13276,0
13278,0
13297,0
13298,0
13303,0
13320,0
13333,0
13366,0
13370,0
13378,0
13382,0
13393,0
13402,0
13413,0
13418,0
13419,0
13431,0
13438,0
13449,0
13469,0
13477,0
13480,0
13481,0
13484,0
13507,0
13509,0
13510,0
13515,0
13519,0
13530,0
13534,0
13542,0
13547,0
13569,0
13572,0
13579,0
13588,0
13601,0
13610,0
13612,0
13630,0
13633,0
13643,0
13644,0
13648,0
13651,0
13672,0
13690,0
13709,0
13722,0
13727,0
13744,0
13769,0
13797,0
13799,0
13803,0
13810,0
13814,0
13816,0
13822,0
13823,0
13830,0
13831,0
13833,0
13840,0
13857,0
13863,0
13866,0
13870,0
13872,0
13875,0
13877,0
13880,0
13882,0
13908,0
13910,0
13916,0
13918,0
13931,0
13942,0
13944,0
13946,0
13957,0
13964,0
13966,0
13975,0
13986,0
13995,0
13997,0
13999,0
14004,0
14009,0
14012,0
14013,0
14025,0
14037,0
14042,0
14043,0
14050,0
14058,0
14060,0
14070,0
14079,0
14081,0
14085,0
14106,0
14112,0
14118,0
14120,0
14122,0
14127,0
14129,0
14136,0
14150,0
14160,0
14171,0
14181,0
14183,0
14185,0
14202,0
14205,0
14226,0
14243,0
14264,0
14265,0
14273,0
14274,0
14279,0
14289,0
14292,0
14299,0
14301,0
14306,0
14319,0
14324,0
14325,0
14332,0
14344,0
14365,0
14370,0
14393,0
14396,0
14397,0
14400,0
14408,0
14411,0
14412,0
14415,0
14418,0
14425,0
14431,0
14443,0
14444,0
14451,0
14464,0
14466,0
14482,0
14484,0
14488,0
14491,0
14495,0
14511,0
14515,0
14519,0
14524,0
14525,0
14538,0
14555,0
14556,0
14562,0
14577,0
14580,0
14582,0
14585,0
14589,0
14592,0
14595,0
14602,0
14606,0
14611,0
14614,0
14631,0
14632,0
14635,0
14639,0
14712,0
14728,0
14745,0
14748,0
14749,0
14751,0
14774,0
14794,0
14804,0
14811,0
14812,0
14815,0
14823,0
14826,0
14829,0
14832,0
14845,0
14861,0
14867,0
14881,0
14884,0
14889,0
14898,0
14908,0
14910,0
14928,0
14959,0
14991,0
15013,0
15026,0
15038,0
15039,0
15049,0
15062,0
15066,0
15069,0
15076,0
15096,0
15098,0
15107,0
15111,0
15114,0
15118,0
15137,0
15138,0
15143,0
15145,0
15164,0
15165,0
15171,0
15176,0
15177,0
15178,0
15202,0
15208,0
15213,0
15221,0
15245,0
15248,0
15254,0
15256,0
15270,0
15284,0
15290,0
15297,0
15306,0
15318,0
15322,0
15328,0
15337,0
15347,0
15354,0
15364,0
15367,0
15371,0
15372,0
15388,0
15390,0
15391,0
15407,0
15411,0
15412,0
15441,0
15455,0
15461,0
15462,0
15489,0
15492,0
15493,0
15495,0
15497,0
15500,0
15520,0
15530,0
15532,0
15547,0
15548,0
15551,0
15557,0
15564,0
15577,0
15578,0
15585,0
15587,0
15595,0
15596,0
15608,0
15620,0
15628,0
15640,0
15653,0
15660,0
15665,0
15693,0
15694,0
15727,0
15732,0
15745,0
15753,0
15789,0
15790,0
15793,0
15807,0
15809,0
15812,0
15816,0
15819,0
15833,0
15842,0
15844,0
15845,0
15848,0
15856,0
15865,0
15870,0
15877,0
15878,0
15881,0
15889,0
15895,0
15903,0
15905,0
15906,0
15911,0
15913,0
15916,0
15942,0
15955,0
15971,0
16001,0
16004,0
16015,0
16027,0
16036,0
16044,0
16053,0
16062,0
16063,0
16067,0
16072,0
16074,0
16110,0
16119,0
16148,0
16154,0
16171,0
16172,0
16179,0
16214,0
16215,0
16222,0
16248,0
16264,0
16267,0
16268,0
16269,0
16288,0
16294,0
16298,0
16306,0
16308,0
16315,0
16331,0
16342,0
16353,0
16357,0
16364,0
16369,0
16378,0
16380,0
16383,0
16411,0
16412,0
16429,0
16432,0
16440,0
16444,0
16477,0
16499,0
16507,0
16523,0
16525,0
16526,0
16528,0
16561,0
16562,0
16567,0
16570,0
16589,0
16590,0
16606,0
16627,0
16635,0
16640,0
16647,0
21375,0
21380,0
21389,0
21391,0
21409,0
21412,0
21423,0
21426,0
21432,0
21447,0
21451,0
21461,0
21480,0
