Var1,Var66
12658,0
12667,0
12675,0
12676,0
12681,0
12682,0
12683,0
12684,0
12690,0
12691,0
12696,0
12701,0
12707,0
12712,0
12714,0
12717,0
12721,0
12728,0
12731,0
12734,0
12737,0
12743,0
12744,0
12752,0
12757,0
12766,0
12769,0
12774,0
12775,0
12777,0
12784,0
12787,0
12788,0
12790,0
12793,0
12796,0
12799,0
12811,0
12813,0
12816,0
12818,0
12819,0
12821,0
12831,0
12833,0
12837,0
12842,0
12844,0
12847,0
12848,0
12850,0
12854,0
12864,0
12866,0
12870,0
12873,0
12874,0
12875,0
12880,0
12884,0
12890,0
12896,0
12900,0
12906,0
12907,0
12911,0
12913,0
12914,0
12918,0
12920,0
12921,0
12925,0
12926,0
12928,0
12929,0
12931,0
12932,0
12933,0
12935,0
12942,0
12946,0
12967,0
12969,0
12972,0
12973,0
12991,0
12993,0
12997,0
12999,0
13002,0
13010,0
13019,0
13020,0
13022,0
13024,0
13025,0
13026,0
13029,0
13034,0
13038,0
13041,0
13050,0
13056,0
13057,0
13060,0
13068,0
13069,0
13070,0
13072,0
13078,0
13085,0
13086,0
13088,0
13089,0
13094,0
13095,0
13100,0
13111,0
13114,0
13115,0
13124,0
13125,0
13126,0
13128,0
13129,0
13133,0
13136,0
13142,0
13144,0
13145,0
13146,0
13147,0
13152,0
13155,0
13182,0
13183,0
13187,0
13188,0
13194,0
13200,0
13206,0
13210,0
13215,0
13217,0
13221,0
13224,0
13229,0
13230,0
13231,0
13235,0
13237,0
13238,0
13244,0
13251,0
13252,0
13254,0
13261,0
13264,0
13267,0
13270,0
13272,0
13274,0
13276,0
13277,0
13278,0
13279,0
13280,0
13281,0
13294,0
13297,0
13298,0
13303,0
13310,0
13313,0
13315,0
13318,0
13319,0
13322,0
13328,0
13330,0
13333,0
13336,0
13337,0
13338,0
13339,0
13340,0
13342,0
13349,0
13352,0
13354,0
13356,0
13365,0
13378,0
13382,0
13393,0
13395,0
13396,0
13405,0
13408,0
13417,0
13418,0
13419,0
13425,0
13432,0
13437,0
13438,0
13442,0
13449,0
13458,0
13460,0
13469,0
13474,0
13476,0
13477,0
13478,0
13479,0
13480,0
13481,0
13483,0
13484,0
13497,0
13507,0
13509,0
13510,0
13514,0
13515,0
13523,0
13533,0
13535,0
13538,0
13541,0
13542,0
13544,0
13547,0
13554,0
13561,0
13563,0
13566,0
13569,0
13572,0
13575,0
13578,0
13579,0
13581,0
13585,0
13586,0
13587,0
13591,0
13594,0
13596,0
13605,0
13607,0
13608,0
13612,0
13613,0
13619,0
13623,0
13625,0
13626,0
13629,0
13630,0
13633,0
13636,0
13643,0
13651,0
13652,0
