Var1,Var66
12667,0
12678,0
12681,0
12682,0
12683,0
12692,0
12693,0
12696,0
12698,0
12703,0
12707,0
12714,0
12717,0
12718,0
12728,0
12731,0
12737,0
12743,0
12747,0
12750,0
12751,0
12752,0
12757,0
12763,0
12766,0
12770,0
12775,0
12782,0
12784,0
12787,0
12796,0
12805,0
12810,0
12813,0
12816,0
12818,0
12821,0
12828,0
12833,0
12835,0
12839,0
12844,0
12848,0
12850,0
12852,0
12866,0
12870,0
12871,0
12886,0
12890,0
12906,0
12918,0
12926,0
12928,0
12929,0
12931,0
12959,0
12967,0
12988,0
12991,0
12992,0
12993,0
12997,0
12998,0
13010,0
13020,0
13024,0
13025,0
13029,0
13030,0
13031,0
13034,0
13039,0
13048,0
13056,0
13060,0
13068,0
13070,0
13076,0
13089,0
13092,0
13094,0
13096,0
13105,0
13106,0
13110,0
13111,0
13114,0
13118,0
13122,0
13124,0
13129,0
13131,0
13132,0
13137,0
13139,0
13140,0
13146,0
13147,0
13152,0
13154,0
13155,0
13156,0
13163,0
13176,0
13189,0
13200,0
13202,0
13207,0
13208,0
13210,0
13211,0
13217,0
13224,0
13225,0
13230,0
13231,0
13235,0
13241,0
13249,0
13251,0
13252,0
13256,0
13259,0
13267,0
13270,0
13272,0
13281,0
13282,0
13285,0
13286,0
13294,0
13298,0
13310,0
13313,0
13315,0
13317,0
13318,0
13319,0
13322,0
13327,0
13328,0
13330,0
13336,0
13338,0
13339,0
13340,0
13351,0
13352,0
13354,0
13355,0
13360,0
13361,0
13365,0
13377,0
13380,0
13391,0
13412,0
13423,0
13425,0
13437,0
13440,0
13442,0
13454,0
13455,0
13456,0
13458,0
13467,0
13470,0
13471,0
13474,0
13476,0
13479,0
13483,0
13485,0
13490,0
13511,0
13513,0
13514,0
13517,0
13518,0
13523,0
13533,0
13535,0
13538,0
13539,0
13541,0
13544,0
13554,0
13555,0
13563,0
13566,0
13578,0
13579,0
13586,0
13587,0
13592,0
13593,0
13594,0
13596,0
13605,0
13607,0
13608,0
13609,0
13613,0
13619,0
13623,0
13624,0
13626,0
13627,0
13629,0
13632,0
13633,0
13636,0
13646,0
13652,0
13653,0
13655,0
13659,0
13664,0
13665,0
13668,0
13674,0
13676,0
13678,0
13679,0
13680,0
13681,0
13693,0
13695,0
13699,0
13700,0
13702,0
13703,0
13704,0
13707,0
13717,0
13718,0
13727,0
13734,0
13743,0
13746,0
13755,0
13758,0
13762,0
13764,0
13768,0
13771,0
13774,0
13775,0
13776,0
13780,0
13783,0
13784,0
13787,0
13792,0
13793,0
13794,0
13797,0
13798,0
13804,0
13805,0
13811,0
13812,0
13817,0
13828,0
13829,0
13838,0
13844,0
13845,0
13846,0
13847,0
13852,0
13854,0
13858,0
13862,0
13867,0
13874,0
13884,0
13888,0
13893,0
13897,0
13901,0
13904,0
13905,0
13908,0
13911,0
13912,0
13913,0
13916,0
13919,0
13922,0
13924,0
13927,0
13928,0
13933,0
13934,0
13942,0
13943,0
13944,0
13951,0
13959,0
13963,0
13964,0
13972,0
13973,0
13974,0
13980,0
13990,0
13991,0
13993,0
14002,0
14006,0
14009,0
14010,0
14016,0
14018,0
14021,0
14023,0
14024,0
14025,0
14028,0
14037,0
14044,0
14046,0
14060,0
14064,0
14073,0
14077,0
14078,0
14091,0
14094,0
14096,0
14110,0
14114,0
14116,0
14120,0
14123,0
14124,0
14126,0
14128,0
14131,0
14132,0
14133,0
14138,0
14144,0
14149,0
14150,0
14151,0
14158,0
14164,0
14168,0
14170,0
14180,0
14190,0
14195,0
14204,0
14211,0
14213,0
14215,0
14220,0
14223,0
14225,0
14233,0
14244,0
14245,0
14246,0
14247,0
14248,0
14250,0
14253,0
14255,0
14260,0
14261,0
14262,0
14266,0
14280,0
14286,0
14294,0
14303,0
14309,0
14310,0
14312,0
14321,0
14322,0
14330,0
14331,0
14337,0
14338,0
14342,0
14343,0
14345,0
14350,0
14354,0
14355,0
14356,0
14362,0
14365,0
14366,0
14368,0
14371,0
14374,0
14375,0
14380,0
14391,0
14399,0
14401,0
14402,0
14403,0
14414,0
14422,0
14424,0
14429,0
14430,0
14436,0
14437,0
14439,0
14441,0
14449,0
14451,0
14470,0
14471,0
14477,0
14478,0
14480,0
14485,0
14492,0
14494,0
14500,0
14505,0
14508,0
14517,0
14518,0
14520,0
14521,0
14523,0
14526,0
14527,0
14528,0
14537,0
14544,0
14546,0
14548,0
14555,0
14558,0
14559,0
14561,0
14566,0
14573,0
14577,0
14579,0
14583,0
14586,0
14591,0
14596,0
14598,0
14601,0
14612,0
14618,0
14623,0
14625,0
14626,0
14627,0
14628,0
14634,0
14637,0
14640,0
14641,0
14642,0
14645,0
14653,0
14668,0
14672,0
14678,0
14680,0
14681,0
14686,0
14692,0
14699,0
14701,0
14710,0
14712,0
14714,0
14722,0
14723,0
14725,0
14726,0
14729,0
14734,0
14736,0
14743,0
14763,0
14765,0
14778,0
14782,0
14788,0
14791,0
14801,0
14808,0
14821,0
14822,0
14828,0
14839,0
14843,0
14844,0
14850,0
14855,0
14860,0
14861,0
14869,0
14873,0
14875,0
14878,0
14882,0
14884,0
14887,0
14893,0
14896,0
14902,0
14909,0
14912,0
14915,0
14916,0
14922,0
14927,0
14935,0
14939,0
14942,0
14943,0
14944,0
14945,0
14947,0
14952,0
14954,0
14964,0
14966,0
14967,0
14968,0
14969,0
14971,0
14975,0
14976,0
14979,0
14990,0
14992,0
14994,0
14996,0
14998,0
15001,0
15002,0
15004,0
15005,0
15008,0
15011,0
15012,0
15013,0
15017,0
15018,0
15019,0
15020,0
15022,0
15023,0
15024,0
15032,0
15036,0
15042,0
15045,0
15051,0
15055,0
15056,0
15064,0
15067,0
15068,0
15077,0
15078,0
15079,0
15098,0
15099,0
15102,0
15109,0
15119,0
15120,0
15126,0
15135,0
15142,0
15144,0
15149,0
15156,0
15162,0
15164,0
15170,0
15171,0
15179,0
15184,0
15187,0
15188,0
15200,0
15203,0
15209,0
15214,0
15220,0
15223,0
15227,0
15229,0
15235,0
15249,0
15252,0
15255,0
15267,0
15269,0
15270,0
15276,0
15278,0
15279,0
15280,0
15285,0
15288,0
15291,0
15292,0
15298,0
15299,0
15300,0
15301,0
15304,0
15308,0
15314,0
15317,0
15321,0
15325,0
15327,0
15336,0
15345,0
15349,0
15355,0
15357,0
15361,0
15366,0
15376,0
15380,0
15384,0
15385,0
15401,0
15403,0
15409,0
15411,0
15414,0
15416,0
15419,0
15424,0
15427,0
15428,0
15430,0
15440,0
15442,0
15456,0
15465,0
15468,0
15473,0
15478,0
15480,0
15482,0
15483,0
15484,0
15490,0
15494,0
15503,0
15510,0
15513,0
15516,0
15518,0
15524,0
15527,0
15529,0
15537,0
15540,0
15545,0
15548,0
15549,0
15556,0
15562,0
15564,0
15570,0
15572,0
15575,0
15582,0
15597,0
15600,0
15606,0
15611,0
15613,0
15619,0
15628,0
15629,0
15646,0
15652,0
15659,0
15660,0
15668,0
15669,0
15678,0
15680,0
15683,0
15688,0
15690,0
15696,0
15703,0
15708,0
15713,0
15716,0
15723,0
15725,0
15731,0
15737,0
15738,0
15739,0
15747,0
15749,0
15751,0
15752,0
15761,0
15764,0
15765,0
15769,0
15771,0
15772,0
15777,0
15778,0
15783,0
15796,0
15797,0
15801,0
15802,0
15803,0
15805,0
15811,0
15816,0
15830,0
15831,0
15836,0
