Var1,Var66
12666,0
12667,0
12668,1
12669,0
12670,0
12671,0
12672,0
12673,0
12674,0
12675,0
12676,0
12677,0
12678,0
12679,0
12680,0
12681,0
12682,0
12683,0
12684,0
12685,1
12686,0
12687,0
12688,0
12689,0
12690,0
12691,0
12692,0
12693,0
12694,1
12695,0
12696,0
12697,0
12698,0
12699,1
12700,0
12701,0
12702,0
12703,0
12704,0
12705,0
12706,1
12707,0
12708,0
12709,0
12710,1
12711,1
12712,0
12713,0
12714,1
12715,0
12716,0
12717,0
12718,0
12719,0
12720,0
12721,1
12722,0
12723,0
12724,0
12725,0
12726,0
12727,1
12728,0
12729,1
12730,0
12731,0
12732,0
12733,1
12734,0
12735,0
12736,0
12737,0
12738,1
12739,0
12740,0
12741,1
12742,0
12743,0
12744,0
12745,0
12746,0
12747,1
12748,0
12749,0
12750,0
12751,0
12752,0
12753,0
12754,0
12755,0
12756,0
12757,1
12758,0
12759,0
12760,0
12761,0
12762,0
12763,1
12764,0
12765,0
12766,0
12767,0
12768,0
12769,0
12770,0
12771,0
12772,0
12773,0
12774,0
12775,0
12776,0
12777,0
12778,1
12779,0
12780,0
12781,0
12782,0
12783,0
12784,0
12785,0
12786,1
12787,0
12788,1
12789,0
12790,1
12791,0
12792,0
12793,1
12794,0
12795,0
12796,0
12797,0
12798,0
12799,0
12800,0
12801,0
12802,0
12803,0
12804,0
12805,0
12806,1
12807,1
12808,0
12809,0
12810,0
12811,0
12812,1
12813,0
12814,0
12815,0
12816,0
12817,0
12818,0
12819,0
12820,0
12821,0
12822,0
12823,0
12824,0
12825,0
12826,0
12827,0
12828,0
12829,1
12830,0
12831,0
12832,0
12833,0
12834,0
12835,0
12836,0
12837,0
12838,0
12839,0
12840,0
12841,0
12842,0
12843,0
12844,0
12845,0
12846,0
12847,0
12848,0
12849,0
12850,0
12851,0
12852,0
12853,1
12854,0
12855,1
12856,0
12857,1
12858,0
12859,0
12860,0
12861,0
12862,0
12863,0
12864,0
12865,0
12866,1
12867,0
12868,0
12869,0
12870,0
12871,0
12872,0
12873,0
12874,0
12875,0
12876,0
12877,0
12878,0
12879,0
12880,0
12881,0
12882,0
12883,0
12884,0
12885,1
12886,0
12887,0
12888,0
12889,0
12890,0
12891,0
12892,0
12893,0
12894,1
12895,0
12896,0
12897,1
12898,0
12899,0
12900,0
12901,1
12902,0
12903,0
12904,0
12905,0
12906,0
12907,0
12908,0
12909,0
12910,0
12911,0
12912,0
12913,0
12914,0
12915,1
12916,0
